ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
923;JARRON;1;CEMENTO PATINADO;MOTIVO DECORATIVO;M.O.A.;CEMENTERIO DE LA CHACARITA;CEMENTERIO DE LA CHACARITA;GUZMAN AV. 680;GUZMAN AV.;680;CHACARITA;COMUNA 15;1427;C1427BOT;-34.58733567782963;-58.45531011804598
924;JARRON;1;CEMENTO PATINADO;MOTIVO DECORATIVO;M.O.A.;CEMENTERIO DE LA CHACARITA;CEMENTERIO DE LA CHACARITA;GUZMAN AV. 680;GUZMAN AV.;680;CHACARITA;COMUNA 15;1427;C1427BOT;-34.58733567782963;-58.45531011804598
929;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. AL GRL. J.M. DE PUEYRREDON;;PLAZA GRAL JUAN M DE PUEYRREDON;PLAZA GRAL JUAN M DE PUEYRREDON;YERBAL 2450;YERBAL;2450;;COMUNA 7;1406;C1406GKD;-34.62795954529241;-58.4641949856872
930;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. A CONGRESALES DE TUCUMAN;;PLAZA GRAL JUAN M DE PUEYRREDON;PLAZA GRAL JUAN M DE PUEYRREDON;YERBAL 2450;YERBAL;2450;;COMUNA 7;1406;C1406GKD;-34.62795954529241;-58.4641949856872
933;JARRON;1;CEMENTO PATINADO;MOTIVO DECORATIVO;M.O.A.;PARQUE BALNEARIO NORTE;PARQUE BALNEARIO NORTE;CANTILO, INT. Y GUIRALDES, INT.;CANTILO, INT.;;;COMUNA 13;;;-34.54665134614914;-58.4408472017173
934;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. AL GRL. J.M. DE PUEYRREDON;;PLAZA GRAL JUAN M DE PUEYRREDON;PLAZA GRAL JUAN M DE PUEYRREDON;YERBAL 2450;YERBAL;2450;;COMUNA 7;1406;C1406GKD;-34.62795954529241;-58.4641949856872
937;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. RETO?O DE ALGARROBO HISTORICO;;PLAZA GRAL JUAN M DE PUEYRREDON;PLAZA GRAL JUAN M DE PUEYRREDON;YERBAL 2450;YERBAL;2450;;COMUNA 7;1406;C1406GKD;-34.62795954529241;-58.4641949856872
947;JARRON;1;CEMENTO PATINADO;MOTIVO DECORATIVO;M.O.A.;AV ANTARTIDA ARGENTINA Y MAIPU;AV ANTARTIDA ARGENTINA Y MAIPU;ANTARTIDA ARGENTINA AV. Y SAN MARTINN;ANTARTIDA ARGENTINA AV.;;;COMUNA 1;;;-34.59000018031124;-58.37070837781312
951;PLACA;1;MARMOL;NOMENCLATURA DEL MESON ESPA?OL;M.O.A.;PARQUE ESPAÑA;PARQUE ESPAÑA;CASEROS AV. Y BAIGORRI;CASEROS AV.;;BARRACAS;COMUNA 4;;;-34.633349652005904;-58.387273726884345
952;PLACA;1;FIBRA POLIESTER;HJE. AL CLUB ATLETICO ATLANTA;M.O.A.;PZTA ALFONSO R CASTELAO;PZTA ALFONSO R CASTELAO;INDEPENDENCIA AV. E IRIGOYEN, BERNARDO DE;INDEPENDENCIA AV.;;;COMUNA 1;;;-34.61763357479392;-58.380281191938245
953;PLACA;1;CEMENTO PATINADO;HJE. AL CLUB ATLETICO ATLANTA;M.O.A.;PZTA ALFONSO R CASTELAO;PZTA ALFONSO R CASTELAO;INDEPENDENCIA AV. E IRIGOYEN, BERNARDO DE;INDEPENDENCIA AV.;;;COMUNA 1;;;-34.61763357479392;-58.380281191938245
956;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA OBRA 1887;;PLAZA GRAL JUAN M DE PUEYRREDON;PLAZA GRAL JUAN M DE PUEYRREDON;YERBAL 2450;YERBAL;2450;;COMUNA 7;1406;C1406GKD;-34.62795954529241;-58.4641949856872
960;PLACA;1;CEMENTO PATINADO;HJE. A ALEJANDRO PETION;M.O.A.;PZTA ALEJANDRO PETION;PZTA ALEJANDRO PETION;AGUADO, ALEJANDRO M. DE 2892;AGUADO, ALEJANDRO M. DE;2892;PALERMO;COMUNA 14;1425;C1425CEB;-34.57900485612525;-58.40240617061152
961;VERJA OCTOGONAL;1;HIERRO FORJADO;MOTIVO DECORATIVO;;PLAZA GRAL JUAN M DE PUEYRREDON;PLAZA GRAL JUAN M DE PUEYRREDON;YERBAL 2450;YERBAL;2450;;COMUNA 7;1406;C1406GKD;-34.62795954529241;-58.4641949856872
990;MONUMENTO;1;PIEDRA PARIS;NICOLAS AVELLANEDA;FIORAVANTI, JOSE;PLAZA HOLANDA;PLAZA HOLANDA;DEL LIBERTADOR AV. 3601;DEL LIBERTADOR AV.;3601;;COMUNA 14;1425;C1425ABJ;-34.57296045683345;-58.41922807306269
991;JARRON;5;CEMENTO PATINADO;MOTIVOS DECORATIVOS;M.O.A.;PLAZA HOLANDA;PLAZA HOLANDA;DEL LIBERTADOR AV. 3601;DEL LIBERTADOR AV.;3601;;COMUNA 14;1425;C1425ABJ;-34.57296045683345;-58.41922807306269
992;PLACA;1;MARMOL;HJE. AL DR. NICOLAS AVELLANEDA;;PLAZA HOLANDA;PLAZA HOLANDA;DEL LIBERTADOR AV. 3601;DEL LIBERTADOR AV.;3601;;COMUNA 14;1425;C1425ABJ;-34.57296045683345;-58.41922807306269
993;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE.AL DR.NICOLAS AVELLANEDA;;PLAZA HOLANDA;PLAZA HOLANDA;DEL LIBERTADOR AV. 3601;DEL LIBERTADOR AV.;3601;;COMUNA 14;1425;C1425ABJ;-34.57296045683345;-58.41922807306269
994;JARRON;4;HIERRO FUNDIDO;MOTIVOS DECORATIVOS;;PLAZA HOLANDA;PLAZA HOLANDA;DEL LIBERTADOR AV. 3601;DEL LIBERTADOR AV.;3601;;COMUNA 14;1425;C1425ABJ;-34.57296045683345;-58.41922807306269
1012;FIGURA;1;CEMENTO PATINADO;YAGUARETE;M.O.A. Y P.R.E.M.O.A.;JARDIN ZOOLOGICO;JARDIN ZOOLOGICO;SARMIENTO 2601;SARMIENTO;2601;BALVANERA;COMUNA 3;1045;C1045ABC;-34.60634336537214;-58.40364250639897
1014;JARRON;1;CEMENTO PATINADO;MOTIVO DECORATIVO;M.O.A.;PLAZA INTENDENTE ALVEAR;PLAZA INTENDENTE ALVEAR;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475990642078;-58.391704533378004
1015;BUSTO;1;MARMOL;ANTONIO M. CRESPO;MACCHI, AURELIO;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
1018;JARRON;1;CEMENTO PATINADO;MOTIVO DECORATIVO;M.O.A.;PLAZA INTENDENTE ALVEAR;PLAZA INTENDENTE ALVEAR;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475990642078;-58.391704533378004
1019;MONUMENTO;1;PIEDRA Y BRONCE;INDICADOR METEREOLOGICO;MARCOVICH, JOSE;JARDIN BOTANICO;JARDIN BOTANICO;SANTA FE AV. 3951;SANTA FE AV.;3951;PALERMO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1020;SURTIDOR Y FUENTE;1;BRONCE Y MAMPOSTERIA;PEÑADOR PEÑADO;MARINAS, ANTONIO;JARDIN ZOOLOGICO;JARDIN ZOOLOGICO;SARMIENTO 2601;SARMIENTO;2601;BALVANERA;COMUNA 3;1045;C1045ABC;-34.60634336537214;-58.40364250639897
1022;BALAUSTRADA;1;MAMPOSTERIA;MOTIVO DECORATIVO;;PLAZA INTENDENTE ALVEAR;PLAZA INTENDENTE ALVEAR;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475990642078;-58.391704533378004
1025;PLACA;1;BRONCE;ACTO HOMENAJE AL GENERAL ALVEAR;;PLAZA INTENDENTE ALVEAR;PLAZA INTENDENTE ALVEAR;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475990642078;-58.391704533378004
1029;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE.A CARLOS MARIA DE ALVEAR;;PLAZA INTENDENTE ALVEAR;PLAZA INTENDENTE ALVEAR;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475990642078;-58.391704533378004
1032;MONUMENTO;1;BRONCE Y GRANITO;TARAS SHEVCHENKO;MOL, LEO;PZTA GRAL JOSE ANTONIO PAEZ;PZTA GRAL JOSE ANTONIO PAEZ;ISABEL, INFANTA AV. 410;ISABEL, INFANTA AV.;410;;COMUNA 14;1425;C1425CHA;-34.570992070336025;-58.421387664761454
1034;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA DE PLAZA;ESCUELAS RAGGIO;PLAZA INTENDENTE CASARES;PLAZA INTENDENTE CASARES;REPUBLICA ARABE SIRIA 2510;REPUBLICA ARABE SIRIA;2510;PALERMO;COMUNA 14;1425;C1425EYB;-34.58455260760441;-58.41667737904243
1035;ESTATUA;1;MARMOL;EL ECO;MORA, LOLA;JARDIN ZOOLOGICO;JARDIN ZOOLOGICO;SARMIENTO 2601;SARMIENTO;2601;BALVANERA;COMUNA 3;1045;C1045ABC;-34.60634336537214;-58.40364250639897
1036;GRUPO ESCULTORICO;1;MARMOL;NEREIDAS;MORA, LOLA;PARQUE BALNEARIO SUR;PARQUE BALNEARIO SUR;PAZ, GRAL. AV. 16802;PAZ, GRAL. AV.;16802;;COMUNA 8;1439;C1439HNO;-34.69801445074425;-58.46981073107586
1037;MASTIL;1;BRONCE Y MARMOL;ANTENA MONUMENTAL;MORETTII, GAETANO;PARQUE BALNEARIO SUR;PARQUE BALNEARIO SUR;PAZ, GRAL. AV. 16802;PAZ, GRAL. AV.;16802;;COMUNA 8;1439;C1439HNO;-34.69801445074425;-58.46981073107586
1038;FUENTE CIRCULAR;2;;MAMPOSTERIA;MOTIVOS DECORATIVOS;ROSEDAL;ROSEDAL;ISABEL, INFANTA AV. 900;ISABEL, INFANTA AV.;900;PALERMO;COMUNA 14;1425;C1425CHA;-34.57006679763025;-58.42048286500513
1039;RELOJ SOLAR DE DOS;1;;NATIONAL PANASONIC;MOTIVOS DECORATIVOS;PZTA ROSARIO VERA PEÑALOZA;PZTA ROSARIO VERA PE?ALOZA;PIEDRAS Y SAN JUAN AV.;PIEDRAS;;SAN TELMO;COMUNA 1;;;-34.62206070002504;-58.37720542865125
1043;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA OBRA 116;D.O.M. Y M.O.A.;PLAZA INTENDENTE SEEBER;PLAZA INTENDENTE SEEBER;SARMIENTO AV. 3091;SARMIENTO AV.;3091;PALERMO;COMUNA 14;1425;C1425FGE;-34.57748841240216;-58.417258510876025
1045;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA OBRA 196;D.O.M. Y M.O.A.;PLAZA INTENDENTE SEEBER;PLAZA INTENDENTE SEEBER;SARMIENTO AV. 3091;SARMIENTO AV.;3091;PALERMO;COMUNA 14;1425;C1425FGE;-34.57748841240216;-58.417258510876025
1049;GRUPO ESCULTORICO;1;BRONCE;LUCHA DE TIGRES;SANAIN, LUIS;PLAZA INTENDENTE SEEBER;PLAZA INTENDENTE SEEBER;SARMIENTO AV. 3091;SARMIENTO AV.;3091;PALERMO;COMUNA 14;1425;C1425FGE;-34.57748841240216;-58.417258510876025
1053;BUSTO;1;MARMOL;JOAQUIN LLAMBIAS;NEVOT, ANTONIO;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
1054;MONUMENTO;1;BRONCE Y MARMOL;POLICIA CAIDO EN CUMPLIMIENTO DEL DEBER;NEVOT, ANTONIO;PARQUE PASEO DE LAS AMERICAS;PARQUE PASEO DE LAS AMERICAS;FIGUEROA ALCORTA, PRES. AV. 6700;FIGUEROA ALCORTA, PRES. AV.;6700;;COMUNA 13;1428;C1428BCP;-34.55076452781657;-58.437555981082845
1056;BUSTO;1;CEMENTO PATINADO;ROSARIO VERA PE?ALOZA;O. ANDUEZA Y E. ROJO;PZTA ROSARIO VERA PEÑALOZA;PZTA ROSARIO VERA PE?ALOZA;PIEDRAS Y SAN JUAN AV.;PIEDRAS;;SAN TELMO;COMUNA 1;;;-34.62206070002504;-58.37720542865125
1058;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE.A JAMES JOYCE;D.G.O.P.;PLAZA IRLANDA;PLAZA IRLANDA;ALVAREZ, DONATO, TTE. GRAL. 1001;ALVAREZ, DONATO, TTE. GRAL.;1001;CABALLITO;COMUNA 6;1406;C1406BOI;-34.61484553232251;-58.45890559164561
1059;BUSTO;1;BRONCE;DR. M. CHIAPPORRI;OLIVA NAVARRO, JUAN;HOSPITAL MUNICIPAL RAMOS MEJIA;HOSPITAL MUNICIPAL RAMOS MEJIA;URQUIZA, GRAL. 609;URQUIZA, GRAL.;609;BALVANERA;COMUNA 3;1221;C1221ADC;-34.617620510654355;-58.409400324618595
1060;BUSTO;1;BRONCE;CLEMENTE ONELLI;OLIVA NAVARRO, JUAN;JARDIN ZOOLOGICO;JARDIN ZOOLOGICO;SARMIENTO 2601;SARMIENTO;2601;BALVANERA;COMUNA 3;1045;C1045ABC;-34.60634336537214;-58.40364250639897
1062;ESTATUA;1;MARMOL;LA ESPERANZA;GUILLAUME, EUGENIO;PLAZA IRLANDA;PLAZA IRLANDA;ALVAREZ, DONATO, TTE. GRAL. 1001;ALVAREZ, DONATO, TTE. GRAL.;1001;CABALLITO;COMUNA 6;1406;C1406BOI;-34.61484553232251;-58.45890559164561
1063;BUSTO;1;BRONCE;DR. ISIDRO E. GIL.;OLIVA NAVARRO, JUAN;HOSPITAL MUNICIPAL ALVEAR;HOSPITAL MUNICIPAL ALVEAR;WARNES AV. 2630;WARNES AV.;2630;PATERNAL;COMUNA 15;1427;C1427DPS;-34.597121314340825;-58.47588875807253
1065;ESTATUA;1;MARMOL;LA CARIDAD;GUILLAUME, EUGENIO;PLAZA IRLANDA;PLAZA IRLANDA;ALVAREZ, DONATO, TTE. GRAL. 1001;ALVAREZ, DONATO, TTE. GRAL.;1001;CABALLITO;COMUNA 6;1406;C1406BOI;-34.61484553232251;-58.45890559164561
1067;ESTATUA;1;PIEDRA RECONSTITUIDA;SUPLICA;ORIANA, ANTONIO;AV BOEDO 944;AV BOEDO 944;BOEDO AV. 944;BOEDO AV.;944;BOEDO;COMUNA 5;1218;C1218AAS;-34.624788442619305;-58.41605639359383
1069;BASE;1;MAMPOSTERIA;SUSTENTACION OBRA 2235;M.O.A.;PLAZA IRLANDA;PLAZA IRLANDA;ALVAREZ, DONATO, TTE. GRAL. 1001;ALVAREZ, DONATO, TTE. GRAL.;1001;CABALLITO;COMUNA 6;1406;C1406BOI;-34.61484553232251;-58.45890559164561
1070;MONUMENTO;1;BRONCE Y HORMIGON;HJE. AL BANDONEON;PACENZA, LUCIA;PASEO DEL TANGO;PASEO DEL TANGO;GARDEL, CARLOS Y ANCHORENA, TOMAS MANUEL DE, DR.;GARDEL, CARLOS;;;COMUNA 3;;;-34.60326612584128;-58.410063984167124
1071;MONUMENTO Y FUENTE;1;HORMIGON ARMADO;HJE.IV*CENTENARIO FUNDACION BS.AS.;PACENZA, LUCIA;PZTA ADAN QUIROGA;PZTA ADAN QUIROGA;UDAONDO, GUILLERMO AV. 1462;UDAONDO, GUILLERMO AV.;1462;BELGRANO;COMUNA 13;1428;C1428BJS;-34.548928801638105;-58.45400661424156
1074;BUSTO;1;CEMENTO PATINADO;EVA PERON;PAEZ TORRES, DOMINGO;AV DIAZ VELEZ 5044;AV DIAZ VELEZ 5044;DIAZ VELEZ AV. 5044;DIAZ VELEZ AV.;5044;CABALLITO;COMUNA 6;1405;C1405DCS;-34.608871538034805;-58.437888375930584
1075;GRUPO ESCULTORICO;1;FIBROCEMENTO;LA MADRE;PAEZ TORRES, DOMINGO;AV ASAMBLEA 1415;AV ASAMBLEA 1415;ASAMBLEA AV. 1415;ASAMBLEA AV.;1415;PARQUE CHACABUCO;COMUNA 7;1406;C1406HVE;-34.63636013663657;-58.444334694272904
1077;ESTATUA;1;CEMENTO PATINADO;LA SORPRENDIDA;PAEZ TORRES, DOMINGO;JARDIN BOTANICO;JARDIN BOTANICO;SANTA FE AV. 3951;SANTA FE AV.;3951;PALERMO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1079;BUSTO;1;CEMENTO PATINADO;CRISTOBAL M.HICKEN;PAEZ TORRES, DOMINGO;JARDIN BOTANICO;JARDIN BOTANICO;SANTA FE AV. 3951;SANTA FE AV.;3951;PALERMO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
1085;BUSTO;1;CEMENTO PATINADO;EVA PERON;PAEZ TORRES, DOMINGO;AGUSTIN R CAFFARENA 1;AGUSTIN R CAFFARENA 1;CAFFARENA, AGUSTIN R. 1;CAFFARENA, AGUSTIN R.;1;BOCA;COMUNA 4;1157;C1157ADA;-34.628688743036314;-58.35609978740654
1086;MONUMENTO;1;BRONCE;CARLOS GARDEL;PAGES, MARIANO;PASAJE CARLOS GARDEL Y M DE ANCHORENA;PASAJE CARLOS GARDEL Y M DE ANCHORENA;GARDEL, CARLOS Y ANCHORENA, TOMAS MANUEL DE, DR.;GARDEL, CARLOS;;;COMUNA 3;;;-34.60326612584128;-58.410063984167124
1088;BUSTO;1;MARMOL;EDUARDO H. BERGALLI;PALADINO, ORLANDO;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
1098;JARRON;1;CEMENTO PATINADO;MOTIVO DECORATIVO;M.O.A.;PLAZA IRLANDA;PLAZA IRLANDA;ALVAREZ, DONATO, TTE. GRAL. 1001;ALVAREZ, DONATO, TTE. GRAL.;1001;CABALLITO;COMUNA 6;1406;C1406BOI;-34.61484553232251;-58.45890559164561
1101;RELIEVE Y FUENTE;1;PIEDRA;EL IDILIO;TOSTO, PABLO;PLAZA IRLANDA;PLAZA IRLANDA;ALVAREZ, DONATO, TTE. GRAL. 1001;ALVAREZ, DONATO, TTE. GRAL.;1001;CABALLITO;COMUNA 6;1406;C1406BOI;-34.61484553232251;-58.45890559164561
1104;ESTATUA;1;PIEDRA;LA TEJEDORA;PERLOTI, LUIS;PARQUE AVELLANEDA;PARQUE AVELLANEDA;DIRECTORIO AV. Y LACARRA;DIRECTORIO AV.;;;COMUNA 9;;;-34.6412975520066;-58.47992772490574
1106;BUSTO;1;BRONCE;DR. COSME ARGERICH;PERLOTI, LUIS;HOSPITAL MUNICIPAL ARGERICH;HOSPITAL MUNICIPAL ARGERICH;PI Y MARGALL 750;PI Y MARGALL;750;BOCA;COMUNA 4;1155;C1155AHD;-34.62778129614995;-58.36602671526944
1107;BUSTO;1;MARMOL;BERNARDINO RIVADAVIA;PERLOTI, LUIS;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
1108;BUSTO;1;BRONCE;DR. TORNO;PERLOTI, LUIS;HOSPITAL MUNICIPAL ALVEAR;HOSPITAL MUNICIPAL ALVEAR;WARNES AV. 2630;WARNES AV.;2630;PATERNAL;COMUNA 15;1427;C1427DPS;-34.597121314340825;-58.47588875807253
1110;ANTENA;1;HIERRO;HJE. A LA BANDERA;D.O.M.;PLAZA ISLAS MALVINAS;PLAZA ISLAS MALVINAS;ARZOBISPO ESPINOSA Y CABOTO;ARZOBISPO ESPINOSA;;BOCA;COMUNA 4;;;-34.6271322250172;-58.36142526245495
1111;BASE;1;MAMPOSTERIA;SUSTENTACION DE ANTENA (806);M.O.A.;PLAZA ISLAS MALVINAS;PLAZA ISLAS MALVINAS;ARZOBISPO ESPINOSA Y CABOTO;ARZOBISPO ESPINOSA;;BOCA;COMUNA 4;;;-34.6271322250172;-58.36142526245495
1112;PLACA Y MONOLITO;1;MAYOLICA Y MAMPOSTERIA;HJE.AL TRANVIA;ASOC.AMIGOS TRANVIA;PLAZA ITALIA;PLAZA ITALIA;SARMIENTO AV. 4000;SARMIENTO AV.;4000;PALERMO;COMUNA 14;1425;C1425FHN;-34.569543546126276;-58.41126449346898
1113;MASTIL;1;HIERRO Y MAMPOSTERIA;HOMENAJE A LA BANDERA;D.O.M. Y M.O.A.;PLAZA ITALIA;PLAZA ITALIA;SARMIENTO AV. 4000;SARMIENTO AV.;4000;PALERMO;COMUNA 14;1425;C1425FHN;-34.569543546126276;-58.41126449346898
